index,cafe_nm,Latitude,Longitude,scores,geometry,coverage_count
9629,24시무인카페만월경,37.462378,126.9091124,1.6138318971867702,POINT (37.462378 126.9091124),4
5018,이디야커피북촌,37.57930579999999,126.9827078,1.599033609070297,POINT (37.57930579999999 126.9827078),29
18202,써니카페,37.5992488,126.9491196,1.594426956498679,POINT (37.5992488 126.9491196),14
12287,만월경,37.6457665,127.0531121,1.5907536558032251,POINT (37.6457665 127.0531121),2
6366,콜롬비아퍼펙토,37.4776079,126.8890376,1.587497724592322,POINT (37.4776079 126.8890376),22
1156,커피익스프레스,37.59629279999999,126.9643354,1.569208099066539,POINT (37.59629279999999 126.9643354),5
5967,샵,37.5327405,126.8576375,1.5682152447354896,POINT (37.5327405 126.8576375),15
10140,아르누보,37.574163,127.0715327,1.5623230754574506,POINT (37.574163 127.0715327),22
5100,브루밸류,37.607510600000005,127.0578784,1.560276012212242,POINT (37.607510600000005 127.0578784),14
18147,북카페강남1호점,37.5008723,127.0290456,1.55695581325452,POINT (37.5008723 127.0290456),63
4410,병아리콩,37.6495314,127.0230905,1.5568541003533385,POINT (37.6495314 127.0230905),4
16011,투썸플레이스옥수역점,37.5418407,127.0178663,1.5550927227059157,POINT (37.5418407 127.0178663),8
14995,뉴욕,37.638310100000005,127.0380351,1.55025216857253,POINT (37.638310100000005 127.0380351),20
13832,도토루커피OS,37.5421662,127.05218329999998,1.547911454841848,POINT (37.5421662 127.05218329999998),27
18602,위트에스프레소바,37.5388701,127.0512745,1.5432281007452393,POINT (37.5388701 127.0512745),12
899,히어,37.5567185,127.013721,1.5431885207030491,POINT (37.5567185 127.013721),16
3860,아마도<AMADO>,37.5428689,126.8623827,1.532000922504416,POINT (37.5428689 126.8623827),6
7288,카페마루,37.4765436,126.8784371,1.5292289383823778,POINT (37.4765436 126.8784371),34
4583,하우스,37.55849129999999,127.0037941,1.5287497432771269,POINT (37.55849129999999 127.0037941),7
16361,연남,37.5642312,126.9198083,1.5273130336186576,POINT (37.5642312 126.9198083),42
16985,프리츠원서점,37.57775170000001,126.9885028,1.5208577503869294,POINT (37.57775170000001 126.9885028),32
15934,레이지요거트,37.4936797,127.030982,1.5163125497249907,POINT (37.4936797 127.030982),49
19767,과일연구소,37.647287,127.0208196,1.5161261584612324,POINT (37.647287 127.0208196),8
7212,커피베이가산,37.4777545,126.885474,1.5132594402707955,POINT (37.4777545 126.885474),41
16935,가배도강남,37.4987623,127.0266753,1.5104131145500068,POINT (37.4987623 127.0266753),57
5030,카페에덴,37.6629356,127.0183812,1.505425717464025,POINT (37.6629356 127.0183812),2
10111,카페녹천,37.6457984,127.0492249,1.5050700071385987,POINT (37.6457984 127.0492249),1
16577,크로플공간,37.4511098,126.9056481,1.4962269328844977,POINT (37.4511098 126.9056481),9
18442,봉명동내커피금천독산점,37.4663024,126.9008823,1.4953844143384625,POINT (37.4663024 126.9008823),12
16974,카페아이엔지전문대점명지,37.58536,126.9256737,1.4869421623047157,POINT (37.58536 126.9256737),7
6103,제니스,37.60542720000001,127.0644282,1.4854722456494434,POINT (37.60542720000001 127.0644282),7
4154,메가엠지씨커피휘경주공점,37.5801458,127.0703716,1.4740792994894003,POINT (37.5801458 127.0703716),10
2776,더카페,37.480514500000005,126.8762521,1.4690647069187992,POINT (37.480514500000005 126.8762521),8
5058,하이버,37.5819105,126.9641384,1.46698009330139,POINT (37.5819105 126.9641384),3
11234,이디아에스프레소,37.519667600000005,126.9289127,1.4636120146266096,POINT (37.519667600000005 126.9289127),67
7228,응봉감성,37.5525926,127.02904270000002,1.4624054461351308,POINT (37.5525926 127.02904270000002),1
17040,피에스타7경인홍대역점,37.5573996,126.9255433,1.461558514222328,POINT (37.5573996 126.9255433),86
4856,다이아나카페,37.4852841,127.1151044,1.461289058551836,POINT (37.4852841 127.1151044),32
11833,카페1온스,37.5419502,126.8689825,1.4545447503196065,POINT (37.5419502 126.8689825),6
5327,커피만,37.4799532,126.882626,1.448982774678268,POINT (37.4799532 126.882626),64
19772,카페787,37.4816677,126.884794,1.447482378487054,POINT (37.4816677 126.884794),34
14878,지니어스커피바,37.5478169,127.0213866,1.4461568656029915,POINT (37.5478169 127.0213866),11
19028,커피랑커피말고/갤러리로드300,37.5771584,127.0708842,1.4414803946866186,POINT (37.5771584 127.0708842),13
4908,나연건강카페,37.532842,126.8606795,1.4337416673826318,POINT (37.532842 126.8606795),13
725,스밍스튜디오,37.5413614,127.0462301,1.4093724573798725,POINT (37.5413614 127.0462301),26
13354,매일카페,37.5606558,126.9209804,1.4060613261712194,POINT (37.5606558 126.9209804),56
7506,더하우스,37.615700200000006,127.0050815,1.4015880096778397,POINT (37.615700200000006 127.0050815),2
15932,홍대파스타,37.5534756,126.9210953,1.4010185745400434,POINT (37.5534756 126.9210953),82
6978,더벤티성수카페,37.5393903,127.0543458,1.3989721302050395,POINT (37.5393903 127.0543458),31
17529,커피빈강남대로점코리아,37.495648200000005,127.0281972,1.3955918174418327,POINT (37.495648200000005 127.0281972),57
9345,일리카페미래에셋대우점,37.5223058,126.9297009,1.3914121865519955,POINT (37.5223058 126.9297009),45
