index,cafe_nm,Latitude,Longitude,scores,geometry
7507,복다방,37.62513870000001,127.0185499,0.4153624817988922,POINT (37.62513870000001 127.0185499)
1330,커피나무서래,37.4959573,126.9983263,0.4152322696809974,POINT (37.4959573 126.9983263)
15335,카페하와유,37.50711870000001,127.1117589,0.4148708072786418,POINT (37.50711870000001 127.1117589)
8304,사계,37.6747458,127.06125729999998,0.4147216075936468,POINT (37.6747458 127.06125729999998)
7973,라이크커피,37.519048,127.0237648,0.4144138805374946,POINT (37.519048 127.0237648)
14281,할리스,37.5406011,127.0695162,0.4142299801342863,POINT (37.5406011 127.0695162)
2220,킹프레소,37.5855108,127.08817179999998,0.4136021962545791,POINT (37.5855108 127.08817179999998)
21012,메가엠지씨커피가로수길점,37.5191767,127.0229826,0.4134622699999936,POINT (37.5191767 127.0229826)
16975,블루포토케이씨대학교점,37.5486729,126.8541351,0.412663535899797,POINT (37.5486729 126.8541351)
9157,블루포트KC대학교점,37.5486729,126.8541351,0.412663535899797,POINT (37.5486729 126.8541351)
1163,쁘띠클로,37.5149213,127.10927959999998,0.4125247826529172,POINT (37.5149213 127.10927959999998)
7404,블리스냅,37.5709595,126.8224936,0.4119180428431508,POINT (37.5709595 126.8224936)
14038,에쓰포인카프,37.5031964,127.0235075,0.4118526095165837,POINT (37.5031964 127.0235075)
8977,컴포즈교보,37.5031964,127.0235075,0.4118526095165837,POINT (37.5031964 127.0235075)
1032,매머드익스프레스삼성현백사옥점,37.5070198,127.06166509999998,0.4118350655600573,POINT (37.5070198 127.06166509999998)
20607,컴포즈커피삼성대치점,37.5070198,127.06166509999998,0.4118350655600573,POINT (37.5070198 127.06166509999998)
12052,한끼,37.475738,126.8933388,0.4118104600663075,POINT (37.475738 126.8933388)
13333,테이프,37.533440500000005,126.9908554,0.411754888322864,POINT (37.533440500000005 126.9908554)
710,카페베토벤,37.4704152,127.048828,0.411073361554376,POINT (37.4704152 127.048828)
16758,파마시아,37.5073669,127.0222543,0.4110373930903503,POINT (37.5073669 127.0222543)
8219,디어다온,37.560202,126.9255597,0.4108093212430934,POINT (37.560202 126.9255597)
18904,연리목,37.49582879999999,127.1250903,0.4107985004583599,POINT (37.49582879999999 127.1250903)
15206,숲마마키친바이숲커피플라워숲마마키친by숲커피플라워,37.561305,127.0062241,0.4107322119245735,POINT (37.561305 127.0062241)
18537,카페노웨어,37.500378000000005,127.105675,0.4107121735378261,POINT (37.500378000000005 127.105675)
7322,바운티,37.5564971,126.8196994,0.4107020519342035,POINT (37.5564971 126.8196994)
15029,스몰,37.4974205,127.0191382,0.4103105264303351,POINT (37.4974205 127.0191382)
15808,블루마운틴,37.4919312,127.0342275,0.4100298253000127,POINT (37.4919312 127.0342275)
